date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2017-09-15,3365.15,3365.53,3353.62,3345.33,2197658.25,-17.81,-0.53,3373.022,3374.514,3351.623,2255088.72,2260139.8,2211343.77
2017-09-14,3383.47,3391.64,3371.43,3361.33,2213064.75,-12.72,-0.38,3375.346,3375.864,3347.378,2212367.45,2322871.55,2197022.1
2017-09-13,3374.72,3387.14,3384.15,3366.54,1945507.12,4.66,0.14,3374.16,3374.802,3342.227,2211991.85,2335984.85,2188180.14
2017-09-12,3381.49,3391.07,3379.49,3370.85,2729103.25,3.07,0.09,3374.408,3372.75,3335.343,2281071.98,2388297.44,2179330.81
2017-09-11,3365.35,3384.81,3376.42,3360.05,2190110.25,11.18,0.33,3375.374,3371.324,3328.931,2168357.23,2334891.64,2134024.65
2017-09-08,3364.43,3380.89,3365.24,3353.69,1984051.88,-0.26,-0.01,3376.006,3369.947,3321.978,2265190.88,2373342.06,2119692.53
2017-09-07,3383.63,3387.8,3365.5,3363.18,2211186.75,-19.89,-0.59,3376.382,3366.575,3314.143,2433375.65,2380776.36,2151971.44
2017-09-06,3372.43,3391.01,3385.39,3364.76,2290907.75,1.07,0.03,3375.444,3357.176,3308.956,2459977.85,2323126.63,2161754.41
2017-09-05,3377.2,3390.82,3384.32,3371.57,2165529.5,4.74,0.14,3371.092,3347.407,3303.465,2495522.9,2273868.06,2165007.98
2017-09-04,3369.72,3381.4,3379.58,3359.13,2674278.5,12.46,0.37,3367.274,3337.998,3298.342,2501426.05,2243853.1,2182753.26
2017-09-01,3365.99,3381.93,3367.12,3358.47,2824975.75,6.31,0.19,3363.888,3328.731,3293.336,2481493.25,2162547.74,2164626.03
2017-08-31,3361.46,3367.36,3360.81,3340.69,2344197.75,-2.82,-0.08,3356.768,3318.891,3288.084,2328177.08,2071172.65,2161330.41
2017-08-30,3361.82,3376.65,3363.63,3357.08,2468633.0,-1.6,-0.05,3338.908,3309.653,3283.69,2186275.4,2040375.43,2160759.03
2017-08-29,3362.06,3374.59,3365.23,3354.46,2195045.25,2.58,0.08,3323.722,3297.935,3279.762,2052213.23,1970364.18,2170692.69
2017-08-28,3336.13,3375.03,3362.65,3336.13,2574614.5,31.13,0.93,3308.722,3286.538,3276.132,1986280.15,1933157.65,2179537.73
2017-08-25,3271.46,3331.91,3331.52,3271.46,2058394.88,60.01,1.83,3293.574,3274.009,3271.651,1843602.23,1866043.0,2173826.73
2017-08-24,3287.96,3297.99,3271.51,3266.36,1634689.38,-16.19,-0.49,3281.014,3261.711,3267.737,1814168.23,1923166.51,2162020.42
2017-08-23,3283.8,3299.46,3287.7,3274.44,1798322.12,-2.53,-0.08,3280.398,3260.735,3266.65,1894475.45,2000382.2,2194528.93
2017-08-22,3287.61,3293.48,3290.23,3274.94,1865379.88,3.32,0.1,3272.148,3259.522,3264.649,1888515.13,2056147.89,2211383.82
2017-08-21,3274.58,3287.52,3286.91,3270.48,1861224.88,18.19,0.56,3264.354,3258.686,3262.322,1880035.15,2121653.43,2220901.76
2017-08-18,3253.24,3275.08,3268.72,3248.08,1911224.88,0.29,0.01,3254.444,3257.941,3260.506,1888483.78,2166704.31,2244368.72
2017-08-17,3253.85,3269.14,3268.43,3251.46,2036225.5,21.98,0.68,3242.408,3257.277,3258.969,2032164.8,2251488.17,2251809.1
2017-08-16,3247.85,3248.79,3246.45,3228.87,1768520.5,-4.81,-0.15,3241.072,3257.727,3257.791,2106288.95,2281142.63,2266052.03
2017-08-15,3235.23,3263.59,3251.26,3235.1,1822980.0,13.9,0.43,3246.896,3261.588,3257.018,2223780.65,2371021.2,2313836.36
2017-08-14,3206.04,3240.05,3237.36,3206.04,1903468.0,28.82,0.9,3253.018,3265.726,3253.833,2363271.7,2425917.8,2317998.89
2017-08-11,3237.92,3245.12,3208.54,3200.75,2629630.0,-53.21,-1.63,3261.438,3269.293,3250.788,2444924.85,2481610.45,2355928.13
2017-08-10,3269.73,3282.52,3261.75,3236.18,2406846.25,-13.82,-0.42,3272.146,3273.763,3251.482,2470811.55,2400874.33,2304510.02
2017-08-09,3277.81,3277.94,3275.57,3263.85,2355979.0,-6.3,-0.19,3274.382,3272.566,3249.303,2455996.3,2388675.65,2281819.51
2017-08-08,3277.19,3285.48,3281.87,3269.66,2520435.25,2.41,0.07,3276.28,3269.776,3245.401,2518261.75,2366619.75,2257471.0
2017-08-07,3257.67,3280.1,3279.46,3243.72,2311733.75,17.38,0.53,3278.434,3265.958,3241.46,2488563.9,2320150.1,2225367.87
2017-08-04,3269.32,3287.19,3262.08,3261.31,2759063.5,-10.85,-0.33,3277.148,3263.072,3238.118,2518296.05,2322033.13,2209245.19
2017-08-03,3279.99,3293.37,3272.93,3262.16,2332770.0,-12.13,-0.37,3275.38,3260.662,3235.912,2330937.1,2252130.03,2159649.72
2017-08-02,3288.52,3305.43,3285.06,3282.04,2667306.25,-7.58,-0.23,3270.75,3257.855,3232.888,2321355.0,2250961.42,2130915.86
2017-08-01,3274.37,3292.64,3292.64,3273.5,2371946.0,19.61,0.6,3263.272,3252.447,3228.991,2214977.75,2256651.53,2071698.79
2017-07-31,3252.75,3276.95,3273.03,3251.19,2460394.5,19.79,0.61,3253.482,3241.94,3223.499,2151736.3,2210079.99,2023658.97
2017-07-28,3240.17,3256.37,3253.24,3232.96,1822268.75,3.46,0.11,3248.996,3232.283,3219.643,2125770.2,2230245.81,1970792.11
2017-07-27,3243.77,3251.93,3249.78,3220.64,2284859.5,2.11,0.07,3245.944,3229.201,3216.603,2173322.95,2208145.71,1940410.94
2017-07-26,3244.46,3264.85,3247.67,3228.04,2135420.0,3.98,0.12,3244.96,3226.039,3213.516,2180567.85,2174963.37,1890545.7
